Female name,n,Male name,n,Surname,n
Anna,"101,573",Lars,"85,511",Andersson,"228,264"
Eva,"86,491",Mikael,"79,728",Johansson,"227,104"
Maria,"85,152",Anders,"77,374",Karlsson,"202,331"
Karin,"66,739",Johan,"74,815",Nilsson,"155,686"
Kristina,"58,136",Erik,"66,550",Eriksson,"136,533"
Sara,"57,813",Per,"65,532",Larsson,"114,698"
Lena,"57,182",Karl,"62,757",Olsson,"103,689"
Emma,"50,669",Peter,"62,363",Persson,"98,019"
Kerstin,"49,346",Thomas,"60,788",Svensson,"91,741"
Ingrid,"41,721",Jan,"59,365",Gustafsson,"89,534"
Marie,"41,184",Daniel,"57,423",Pettersson,"87,169"
Malin,"40,489",Fredrik,"54,526",Jonsson,"68,358"
Jenny,"39,916",Hans,"46,640",Jansson,"45,844"
Annika,"38,361",Andreas,"45,520",Hansson,"40,517"
Hanna,"38,351",Stefan,"44,996",Bengtsson,"31,649"
Linda,"38,344",Mohamed,"44,057",Jönsson,"28,874"
Birgitta,"37,816",Mats,"43,437",Lindberg,"27,119"
Susanne,"37,716",Marcus,"42,779",Jakobsson,"25,669"
Elin,"37,586",Mattias,"41,803",Magnusson,"25,109"
Monica,"37,559",Magnus,"41,635",Olofsson,"24,493"
Inger,"35,153",Bengt,"41,194",Lindström,"24,321"
Sofia,"35,059",Jonas,"41,075",Lindqvist,"22,461"
Johanna,"34,322",Oskar,"40,266",Lindgren,"22,250"
Carina,"32,962",Alexander,"39,857",Axelsson,"21,671"
Elisabeth,"31,998",Niklas,"39,742",Berg,"21,525"
Ulla,"31,942",Martin,"39,155",Bergström,"20,739"
Julia,"31,005",Bo,"38,732",Lundberg,"20,665"
Katarina,"29,520",Nils,"37,053",Lind,"20,305"
Linnéa,"29,359",Patrik,"35,331",Lundgren,"19,995"
Emelie,"28,809",Viktor,"35,269",Lundqvist,"19,617"
Ida,"28,743",Björn,"35,096",Mattsson,"18,926"
Helena,"27,596",Leif,"34,051",Berglund,"18,706"
Camilla,"27,191",David,"33,223",Fredriksson,"17,691"
Åsa,"27,148",Sven,"33,045",Sandberg,"17,406"
Anette,"27,125",Henrik,"32,740",Henriksson,"16,908"
Sandra,"26,224",Filip,"32,493",Forsberg,"16,335"
Gunilla,"26,002",Joakim,"32,351",Sjöberg,"16,187"
Anita,"25,726",Christer,"32,110",Wallin,"15,831"
Marianne,"25,480",Ulf,"32,086",Ali,"15,473"
