"HDI Rank","Country","2010-2017",""
"Income inequality, quintile ratio
SDG 10.1 By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average
Dimension: Inequality
Definition: Ratio of the average income of the richest 20 percent of the population to the average income of the poorest 20 percent of the population.
Source: HDRO calculations based on data from World Bank (2019a). World Development Indicators database. Washington, DC. http://data.worldbank.org. Accessed on 15 July 2019."
"69"," Albania","4.2","a"
"82"," Algeria","4.0","a"
"149"," Angola","9.0","a,b"
"48"," Argentina","8.8","a"
"81"," Armenia","5.0","a"
"6"," Australia","6.3","a"
"20"," Austria","4.9","a"
"135"," Bangladesh","4.8","a"
"50"," Belarus","3.6","a"
"17"," Belgium","4.2","a"
"163"," Benin","16.3","a"
"134"," Bhutan","6.6","a"
"114"," Bolivia (Plurinational State of)","11.8","a"
"75"," Bosnia and Herzegovina","5.4","a"
"94"," Botswana","15.0","a"
"79"," Brazil","18.1","a"
"52"," Bulgaria","7.3","a"
"182"," Burkina Faso","5.3","a"
"185"," Burundi","6.7","a"
"126"," Cabo Verde","10.7","a"
"150"," Cameroon","11.5","a"
"13"," Canada","6.2","a"
"188"," Central African Republic","18.5","a,b"
"187"," Chad","10.0","a"
"42"," Chile","10.2","a"
"85"," China","7.1","a"
"79"," Colombia","13.4","a"
"156"," Comoros","11.2","a"
"138"," Congo","12.8","a"
"179"," Congo (Democratic Republic of the)","8.8","a"
"68"," Costa Rica","12.3","a"
"46"," Croatia","5.3","a"
"31"," Cyprus","5.3","a"
"26"," Czechia","3.7","a"
"165"," Côte d'Ivoire","8.4","a"
"11"," Denmark","4.0","a"
"171"," Djibouti","8.8","a"
"89"," Dominican Republic","10.5","a"
"85"," Ecuador","10.7","a"
"116"," Egypt","4.6","a"
"124"," El Salvador","7.0","a"
"30"," Estonia","5.4","a"
"138"," Eswatini (Kingdom of)","14.2","a,c"
"173"," Ethiopia","7.1","a"
"98"," Fiji","6.0","a"
"12"," Finland","3.9","a"
"26"," France","5.2","a"
"115"," Gabon","7.4","a"
"174"," Gambia","5.9","a"
"70"," Georgia","7.1","a"
